feature,importance
IRRADIATION,0.6941476555540751
DC_POWER,0.29624281298346794
hour,0.0031224603624839227
AMBIENT_TEMPERATURE,0.00311893719772053
MODULE_TEMPERATURE,0.0026488139016359368
day,6.204578727174955E-4
month,9.886212789893284E-5
